iter	Passed	Remaining
571	3917	87724
572	3924	87713
573	3931	87709
574	3937	87702
575	3944	87691
576	3951	87685
577	3958	87681
578	3965	87672
579	3972	87671
580	3979	87667
581	3986	87658
582	3992	87648
583	3999	87645
584	4006	87644
585	4013	87636
586	4020	87624
587	4027	87614
588	4033	87605
589	4040	87593
590	4047	87585
591	4053	87573
592	4060	87567
593	4067	87562
594	4074	87546
595	4080	87537
596	4087	87530
597	4094	87518
598	4101	87518
599	4108	87511
600	4114	87501
601	4121	87495
602	4128	87487
603	4135	87479
604	4142	87471
605	4149	87471
606	4156	87463
607	4162	87448
608	4169	87439
609	4175	87428
610	4182	87418
611	4189	87412
612	4196	87404
613	4202	87392
614	4210	87392
615	4217	87386
616	4223	87380
617	4230	87369
618	4237	87360
619	4244	87357
620	4250	87346
621	4257	87339
622	4264	87334
623	4271	87323
624	4278	87312
625	4285	87309
626	4291	87301
627	4298	87284
628	4305	87277
629	4311	87269
630	4318	87266
631	4325	87254
632	4332	87242
633	4338	87235
634	4345	87226
635	4352	87220
636	4359	87213
637	4366	87204
638	4372	87195
639	4379	87183
640	4386	87177
641	4393	87176
642	4399	87159
643	4406	87151
644	4413	87147
645	4420	87134
646	4426	87123
647	4433	87121
648	4440	87109
649	4446	87098
650	4453	87085
651	4460	87078
652	4467	87070
653	4473	87056
654	4480	87050
655	4487	87039
656	4493	87031
657	4500	87018
658	4507	87009
659	4513	87000
660	4520	86998
661	4527	86991
662	4534	86979
663	4541	86972
664	4547	86963
665	4554	86954
666	4561	86946
667	4568	86939
668	4575	86938
669	4582	86931
670	4588	86923
671	4595	86918
672	4602	86915
673	4609	86904
674	4616	86895
675	4623	86887
676	4629	86880
677	4636	86873
678	4643	86861
679	4649	86851
680	4656	86839
681	4663	86831
682	4670	86822
683	4676	86815
684	4683	86808
685	4690	86803
686	4697	86803
687	4704	86798
688	4711	86785
689	4717	86772
690	4724	86767
691	4731	86758
692	4737	86744
693	4744	86739
694	4751	86727
695	4758	86721
696	4764	86713
697	4772	86709
698	4778	86702
699	4785	86692
700	4792	86685
701	4798	86672
702	4805	86657
703	4811	86649
704	4818	86641
705	4825	86631
706	4832	86622
707	4838	86611
708	4845	86603
709	4852	86602
710	4859	86592
711	4866	86587
712	4873	86579
713	4879	86566
714	4886	86560
715	4892	86549
716	4899	86539
717	4906	86527
718	4913	86520
719	4919	86511
720	4926	86504
721	4933	86497
722	4940	86489
723	4947	86483
724	4953	86476
725	4960	86463
726	4967	86455
727	4973	86442
728	4980	86438
729	4987	86433
730	4994	86426
731	5001	86419
732	5007	86411
733	5014	86404
734	5021	86399
735	5028	86391
736	5035	86383
737	5042	86376
738	5048	86371
739	5055	86368
740	5062	86363
741	5069	86351
742	5076	86344
743	5083	86342
744	5089	86330
745	5096	86319
746	5103	86311
747	5109	86302
748	5116	86297
749	5123	86283
750	5129	86271
751	5136	86264
