iter	Passed	Remaining
756	17470	5608
757	17497	5586
758	17522	5563
759	17543	5540
760	17568	5517
761	17589	5493
762	17612	5470
763	17635	5447
764	17657	5424
765	17683	5402
766	17707	5379
767	17727	5355
768	17750	5332
769	17772	5308
770	17794	5285
771	17816	5261
772	17838	5238
773	17861	5215
774	17885	5192
775	17907	5169
776	17929	5145
777	17951	5122
778	17973	5099
779	17996	5075
780	18030	5055
781	18052	5032
782	18075	5009
783	18100	4986
784	18124	4963
785	18146	4940
786	18171	4918
787	18196	4895
788	18218	4872
789	18241	4849
790	18266	4826
791	18289	4803
792	18313	4780
793	18333	4756
794	18356	4733
795	18380	4710
796	18405	4687
797	18426	4664
798	18443	4639
799	18465	4616
800	18486	4592
801	18509	4569
802	18531	4546
803	18554	4523
804	18575	4499
805	18598	4476
806	18617	4452
807	18646	4430
808	18667	4407
809	18691	4384
810	18722	4363
811	18745	4340
812	18768	4317
813	18790	4293
814	18812	4270
815	18834	4247
816	18856	4223
817	18880	4200
818	18901	4177
819	18925	4154
820	18947	4130
821	18968	4107
822	18988	4083
823	19009	4060
824	19034	4037
825	19057	4014
826	19077	3990
827	19099	3967
828	19121	3944
829	19145	3921
830	19167	3898
831	19188	3874
832	19212	3851
833	19234	3828
834	19258	3805
835	19280	3782
836	19303	3759
837	19323	3735
838	19344	3712
839	19367	3689
840	19389	3665
841	19411	3642
842	19431	3618
843	19455	3596
844	19475	3572
845	19496	3549
846	19520	3526
847	19543	3503
848	19565	3479
849	19588	3456
850	19609	3433
851	19630	3409
852	19654	3387
853	19679	3364
854	19699	3340
855	19720	3317
856	19741	3294
857	19762	3270
858	19786	3247
859	19808	3224
860	19830	3201
861	19857	3179
862	19881	3156
863	19902	3132
864	19928	3110
865	19949	3086
866	19972	3063
867	19992	3040
868	20015	3017
869	20037	2994
870	20058	2970
871	20082	2947
872	20104	2924
873	20124	2901
874	20147	2878
875	20171	2855
876	20193	2832
877	20215	2808
878	20239	2786
879	20263	2763
880	20283	2739
881	20306	2716
882	20326	2693
